Investors,Name in PEI Event List,Primary Investor Type,HQ Country/Territory/Region,HQ Location,AUM,PE Category,Investments,Active Portfolio,Exits,Investments in the last 12 months,Dry Powder,Last Investment Company,Description
FTV Capital,FTV Capital,Growth/Expansion,United States,"San Francisco, CA",6000,5. 5B-10B AUM,266,61,106,21,4500.67,Devici,"Founded in 1998, FTV Capital is a growth/expansion firm based in San Francisco, California. The firm prefers to invest in enterprise technology & services and financial technology & service sectors. This firm is a Registered Investment Adviser (RIA)."
Georgian,Georgian,Venture Capital,Canada,"Toronto, Canada",5600,5. 5B-10B AUM,146,48,30,12,866.17,Cyera,"Founded in 2008, Georgian is a venture capital firm based in Toronto, Canada. The firm invests in B2B software companies including, industrial, analytics, cybersecurity, sales, marketing, financial services, insurance, supply chain, education, healthcare, retail, and automation sectors. The firm also has a pre-investment program for growth-stage companies."
GI Partners,GI Partners,Infrastructure,United States,"San Francisco, CA",34009,3. 25B-50B AUM,406,46,82,20,2108.61,Anacle Systems,"Founded in 2001, GI Partners is a private equity firm based in San Francisco, California. The firm prefers to invest in healthcare, services, software, real estate, and data infrastructure sectors."
Goldman Sachs Asset Management,Goldman Sachs,Asset Manager,United States,"New York, NY",1750000,1. 100B+ AUM,1754,262,620,105,111199.75,Synthon International Holding,"Founded in 1988, Goldman Sachs Asset Management is an asset manager based in New York, New York. The firm seeks global equities, fixed-income, real estate, hedge funds, credit, private equity, and infrastructure. This firm is a Registered Investment Adviser (RIA)."
GrowthCurve Capital,GrowthCurve Capital,PE/Buyout,United States,"New York, NY",1828,6. 1B-5B AUM,9,6,,2,769.67,HotStats,"Founded in 2020, GrowthCurve Capital is a private equity investment firm based in New York, New York. The firm seeks to invest in companies in the financial and information services, healthcare, and technology sectors. This firm is a Registered Investment Adviser (RIA)."
Gryphon Investors,Gryphon Investors,PE/Buyout,United States,"San Francisco, CA",10000,4. 10B-25B AUM,388,31,49,29,1203.18,Kinco,"Founded in 1997, Gryphon Investors is a private equity investment firm based in San Francisco, California. The firm seeks to invest in middle-market companies operating in business services, consumer products, consumer services, healthcare, industrial growth, and software sectors. This firm is a Registered Investment Adviser (RIA)."
H.I.G. Capital,H.I.G. Capital,PE/Buyout,United States,"Miami, FL",70000,2. 50B-100B AUM,912,149,290,59,16842.51,Americollect,"Founded in 1993, H.I.G. Capital is a private equity investment firm headquartered in Miami, Florida. The firm specializes in private equity, real estate, growth equity, direct lending, credit & infrastructure investments. The firm prefers to invest in the consumer durables, media, medical, and retail sectors. This firm is a Registered Investment Adviser (RIA)."
HGGC,HGGC,PE/Buyout,United States,"Palo Alto, CA",6984,5. 5B-10B AUM,515,26,41,49,846.27,Olympic Wealth Management,"Founded in 2007, HGGC is a private equity investment firm based in Palo Alto, California. The firm prefers to invest in companies operating in the business services, consumer, financial services, healthcare, technology, industrial services, information services, and software sectors. This firm is also a Registered Investment Adviser (RIA)."
Highview Capital,Highview Capital,Family Office,United States,"Los Angeles, CA",500,7. 500M-1B AUM,45,8,1,5,,Straight Line Industries,"Founded in 2016, Highview Capital is a private equity firm headquartered in Los Angeles, California. The firm seeks to invest in business services, distribution & supply chain, and industrial sectors."
Hunter Point Capital,Hunter Point Capital,PE/Buyout,United States,"New York, NY",5300,5. 5B-10B AUM,9,7,1,1,1768.84,,"Founded in 2020, Hunter Point Capital is a private equity firm based in New York, New York. The firm seeks to make minority investments in middle-market companies across North America, Europe, and Asia."
I Squared Capital,I Squared Capital,Infrastructure,United States,"Miami, FL",45000,3. 25B-50B AUM,228,77,24,34,9489.36,,"Founded in 2012, I Squared Capital is a global infrastructure investment firm based in Miami, Florida. The firm focuses on energy, utilities, telecom, and transport in the Americas, Europe, and Asia."
ICONIQ Capital,ICONIQ,Family Office,United States,"San Francisco, CA",95050,2. 50B-100B AUM,12,10,1,5,12039.19,,"Founded in 2011, ICONIQ Capital is a family office based in San Francisco, California. The firm prefers to invest in real estate, infrastructure, and growth-stage companies."
Insight Partners (New York),Insight Partners,Venture Capital,United States,"New York, NY",93958.1,2. 50B-100B AUM,1761,523,406,132,13855.01,Onebrief,"Founded in 1995, Insight Partners is a venture capital firm based in New York, New York. The firm seeks to invest in artificial intelligence and machine learning plus data, consumer, cybersecurity, development and operations, electronic commerce, educational technology, financial technology, future of work, gaming, government technology, go-to-market technology, health technology, human capital, information technology management, legal technology, life sciences, supply chain and logistics, property technology sectors. This firm is a Registered Investment Adviser (RIA)."
InTandem Capital Partners,InTandem Capital Partners,PE/Buyout,United States,"New York, NY",2560,6. 1B-5B AUM,76,12,8,8,807.54,InSite Clinical Research,"Founded in 2003, InTandem Capital Partners is a private equity firm based in New York, New York. The firm prefers to invest in healthcare, life sciences, digital health, health technology, and insurance services companies across the United States. This firm is a Registered Investment Adviser (RIA)."
Jornic Ventures,,Venture Capital,Canada,"Calgary, Canada",,8. N/A,3,2,,,,,"Founded in 1995, Jornic Ventures is a venture capital investment firm headquartered in Calgary, Canada. The firm prefers to invest in seed-stage, early-stage, and later-stage companies. The firm seeks to invest in business products, business services, consumer products, consumer services, energy, information technology, materials, resources, impact investing, artificial intelligence, machine learning, and technology-based sectors in the United States and Canada."
K1 Investment Management,K1 Investment Management,PE/Buyout,United States,"Manhattan Beach, CA",19695,4. 10B-25B AUM,247,43,28,18,2140.89,RotaGeek,"Founded in 2011, K1 Investment Management is a private equity investment firm based in Manhattan Beach, California. The firm prefers to invest in companies operating in the enterprise software sector. The firm is a Registered Investment Adviser (RIA)."
Kelso & Company,Kelso & Company,PE/Buyout,United States,"New York, NY",16679,4. 10B-25B AUM,609,22,170,33,2621.08,Biloxi Paper Company,"Founded in 1980, Kelso & Company is a private equity investment firm based in New York, New York. The firm prefers to invest in growth-stage companies through buyouts. The firm seeks to invest in business products, business services, consumer products, consumer services, financial services, energy, healthcare, and technology-based sectors across North America. This firm is a Registered Investment Adviser (RIA)."
Keyframe Capital Partners,Keyframe Capital,Hedge Fund,United States,"New York, NY",864,7. 500M-1B AUM,32,16,3,3,25.7,Utilidata,"Founded in 2017, Keyframe Capital Partners is a hedge fund manager based in New York, New York. The firm employs a long/short equity investment strategy. This firm is a Registered Investment Adviser (RIA)."
Knox Lane,Knox Lane Capital,PE/Buyout,United States,"San Francisco, CA",3085,6. 1B-5B AUM,50,10,3,9,1185.24,,"Founded in 2019, Knox Lane is a private equity investment firm based in San Francisco, California. The firm prefers to invest in the consumer and services sectors. This firm is a Registered Investment Adviser (RIA)."
Kohlberg Kravis Roberts (NYS: KKR),KKR,PE/Buyout,United States,"New York, NY",664319,1. 100B+ AUM,2815,485,842,202,68962.18,Masorange,"Founded in 1976, Kohlberg Kravis Roberts is a private equity firm based in New York, New York. The firm prefers to invest in b2b, b2c, energy, financial services, semiconductors, infrastructure, healthcare, industrials, software, information technology, media, telecommunications, materials, resources, SaaS, manufacturing, life sciences, oncology, cybersecurity, internet of things, and technology sectors. This firm is a Registered Investment Adviser (RIA)."
L Catterton,L Catterton,PE/Buyout,United States,"Greenwich, CT",29585,3. 25B-50B AUM,473,144,170,31,6937.47,Dice,"Founded in 1989, L Catterton is a private equity firm based in Greenwich, Connecticut. The firm prefers to invest in the consumer brands. This firm is a Registered Investment Adviser (RIA)."
Lateral Investment Management,Lateral Investment Management,PE/Buyout,United States,"San Mateo, CA",847,7. 500M-1B AUM,16,7,2,2,28.89,Gimmal,"Founded in 2014, Lateral Investment Management is a private equity firm based in San Mateo, California. The firm seeks to invest in middle-market companies focused on the manufacturing, business services, infrastructures, and technology sectors across the United States. This firm is a Registered Investment Adviser (RIA)."
Lightspeed Venture Partners,Lightspeed Venture Partners,Venture Capital,United States,"Menlo Park, CA",25000,3. 25B-50B AUM,1565,489,474,116,1869.17,,"Founded in 2000, Lightspeed Venture Partners is a venture capital firm based in Menlo Park, California. The firm seeks to invest in the enterprise, health, fintech, and consumer sectors. This firm is a Registered Investment Adviser (RIA)."
LLR Partners,LLR Partners,Growth/Expansion,United States,"Philadelphia, PA",5884.31,5. 5B-10B AUM,438,48,111,20,2638.24,Schneider Eye & Wellness Center,"Founded in 1999, LLR Partners is a growth equity firm based in Philadelphia, Pennsylvania. The firm seeks to invest in the business services, education, fintech, industrial tech, healthcare, HR technology, security, and software sectors. The firm is a lower middle market private equity firm collaborating with its portfolio companies to define high-impact growth initiatives, turn them into action and help create long-term value. The firm is a flexible provider of equity capital for growth, recapitalization and buyouts. This firm is a Registered Investment Adviser (RIA)."
Lone View Capital,Lone View Capital,Growth/Expansion,United States,"Los Angeles, CA",1265,6. 1B-5B AUM,8,3,,4,466.58,StafferLink,"Founded in 2022, Lone View Capital is a growth equity investment firm based in Los Angeles, California. The firm seeks to make investments in the technology sector. This firm is a Registered Investment Adviser (RIA)."
LongRange Capital,LongRange Capital,PE/Buyout,United States,"Stamford, CT",1823,6. 1B-5B AUM,6,4,1,2,747.26,US Synthetic,"Founded in 2020, LongRange Capital is a private equity investment firm based in Stamford, Connecticut. The firm seeks to invest in non-discretionary consumer products, value-added industries, and the data & information-based service sector. This firm is a Registered Investment Adviser (RIA)."
Marlin Equity Partners,Marlin Equity,PE/Buyout,United States,"Hermosa Beach, CA",8972,5. 5B-10B AUM,281,49,77,15,1306.1,,"Founded in 2005, Marlin Equity Partners is a private equity firm headquartered in Hermosa Beach, California. The firm seeks to invest in companies operating in the software, technology, healthcare, services, and industrial technology sectors. This firm is a Registered Investment Adviser (RIA)."
Maverix Private Equity,Maverix Private Equity,Growth/Expansion,Canada,"Toronto, Canada",500,7. 500M-1B AUM,9,5,,1,188.82,Raptor Maps,"Founded in 2021, Maverix Private Equity is a growth equity firm based in Toronto, Canada. The firm prefers to invest in the healthcare, wellness, financial services, transportation, logistics, and retail sectors."
MGX,MGX,Venture Capital,United Arab Emirates,"Abu Dhabi, United Arab Emirates",,8. N/A,8,7,,8,,JV (Nvidia / Mistral AI / Bpifrance / MGX),"Founded in 2024, MGX is a venture capital firm based in Abu Dhabi, United Arab Emirates. The firm seeks to invest across semiconductor, artificial intelligence infrastructure, and artificial intelligence technology sectors."
MiddleGround Capital,Middleground Capital,PE/Buyout,United States,"Lexington, KY",4106,6. 1B-5B AUM,47,23,3,3,978.38,,"Founded in 2018, MiddleGround Capital is a private equity firm headquartered in Lexington, Kentucky. The firm prefers to invest in business-to-business industrials, manufacturing, and specialty distribution sectors across North America & Europe. This firm is a Registered Investment Adviser (RIA)."
Mill Point Capital,Mill Point Capital,PE/Buyout,United States,"New York, NY",3000,6. 1B-5B AUM,100,20,12,12,1834.52,Rittman Mead,"Founded in 2013, Mill Point Capital is a private equity investment firm headquartered in New York, New York. The firm seeks control investments in lower-middle market businesses operating in the Business Services, Industrials, and IT Services sectors throughout North America. The firms experienced team of investors, Executive Partners, and Functional Experts seeks portfolio company value enhancement through rigorous implementation of transformative strategic initiatives and operational improvements. Through its collaborative approach, the firm works closely with families, founders, corporate owners, and other sellers to unlock value and support the growth of companies. This firm is a Registered Investment Adviser (RIA)."
New Relic,New Relic,PE-Backed Company,United States,"San Francisco, CA",,8. N/A,10,2,,,,K2 Cyber Security,"New Relic is a provider of software analytics solutions for organizations to collect, store and analyze massive amounts of software data in real-time. The firm's flagship New Relic Software Analytics Cloud is made up of a suite of products, a Big Data database and an open platform. Its solutions include diagnostics, reporting and alerting, transaction monitoring, and performance monitoring capabilities. The firm generates revenue from subscription-based arrangements for software offerings, typically for a year. A majority of the firm's revenue is generated in the United States, and the rest is from Europe, the Middle East, Africa, Asia-Pacific and other regions."
NextGen Growth Partners,NextGen Growth Partners,PE/Buyout,United States,"Chicago, IL",433.35,6. 1B-5B AUM,21,12,4,2,185.28,,"Founded in 2016, NextGen Growth Partners is a private equity firm headquartered in Chicago, Illinois. The firm seeks to invest in lower middle-market companies across different industries and has a preference for the B2B business services sector. This firm is a Registered Investment Adviser (RIA)."
Noble Rock Software,Noble Rock,PE/Buyout,United States,"Boston, MA",,8. N/A,56,3,19,3,,Energy Worldnet,"Founded in 1990, Noble Rock Software is a private equity firm based in Boston, Massachusetts. The firm prefers to invest in companies operating in b2b software, b2b2c software, tech-enabled services, and payments and fintech sectors."
Norwest Equity Partners,Norwest Equity Partners,PE/Buyout,United States,"Minneapolis, MN",2700,6. 1B-5B AUM,373,20,153,3,1186.69,Edme Services,"Founded in 1961, Norwest Equity Partners is a private equity firm based in Minneapolis, Minnesota. The firm seeks to invest in companies in the business services, consumer products & services, and industrial growth sectors. This firm is a Registered Investment Adviser (RIA)."
Norwest Venture Partners,Norwest Venture Partners,Venture Capital,United States,"Menlo Park, CA",15500,4. 10B-25B AUM,1216,226,423,65,4546.41,ProgressPlus,"Founded in 1961, Norwest Venture Partners is a venture capital investment firm based in Palo Alto, California. The firm prefers to invest in early to later-stage companies in the United States, India, and Israel operating in the technology, information services, business services, financial services, enterprise, healthcare, and consumer products and services sectors."
Oak Point Partners,Oak Point Partners,Corporation,United States,"Northbrook, IL",,8. N/A,34,1,1,,,Oldco M Distribution (Remnant Assets),"Oak Point is a private investment firm specializing in the acquisition of non-operating, intangible assets. Oak Point offers an innovative approach to monetizing extraneous assets that would otherwise provide no benefit to companies."
One Equity Partners,#N/A,PE/Buyout,United States,"New York, NY",10000,4. 10B-25B AUM,483,57,142,29,2551.01,Dakotaland Autoglass,"Founded in 2001, One Equity Partners is a private equity firm headquartered in New York, New York. The firm seeks to invest in B2B, healthcare, information technology, manufacturing, industrials, digital health & SaaS sectors based in the North American & European regions. This firm is a Registered Investment Adviser (RIA)."
Partners Group (SWX: PGHN),Partners Group,PE/Buyout,Switzerland,"Zug, Switzerland",152000,1. 100B+ AUM,1001,154,161,94,25079.62,MPM Products,"Founded in 1996, Partners Group is a private equity firm headquartered in Zug, Switzerland. The firm specializes in private equity, infrastructure, real estate, private credit, and royalties investments."
Peak Rock Capital,Peak Rock Capital,PE/Buyout,United States,"Austin, TX",6167.39,5. 5B-10B AUM,89,22,22,14,3799.97,Comprehensive Chemical & Water Treatment,"Founded in 2012, Peak Rock Capital is a leading private investment firm headquartered in Austin, Texas. The firm focuses on driving growth and performance improvement in the middle market."
Playground Global,#N/A,Venture Capital,United States,"Palo Alto, CA",1200,6. 1B-5B AUM,121,45,29,5,257.96,Snowcap,"Founded in 2015, Playground Global is a venture capital firm headquartered in Palo Alto, California. The firm invests in next-generation computing, automation, energy transition, and engineered biology."
PPC (JSE: PPC),PPC,Corporation,South Africa,"Johannesburg, South Africa",,8. N/A,11,2,9,,,PPC Zimbabwe,"Operator of a holding company in the cement sector. The company with its subsidiaries it manufactures and distributes cement, lime and limestone products throughout South Africa."
PSG,PSG Equity,Growth/Expansion,United States,"Boston, MA",28359.97,3. 25B-50B AUM,398,130,48,48,11272.08,GODO (Hospitality Software),"Founded in 2014, PSG is a growth equity firm based in Boston, Massachusetts. The firm seeks to invest in growth-stage companies operating in the software and technology sectors. This firm is a Registered Investment Adviser (RIA)."
Rainier Partners,Rainier Partners,PE/Buyout,United States,"Seattle, WA",339,6. 1B-5B AUM,12,7,,4,110.45,,"Founded in 2020, Rainier Partners is a private equity firm based in Seattle, Washington. The firm seeks to invest in lower middle-market companies operating in the business services, facility services, consumer services & industrial sectors. This firm is a Registered Investment Adviser (RIA)."
Revelstoke Capital Partners,Revelstoke Capital Partners,PE/Buyout,United States,"Denver, CO",4787,6. 1B-5B AUM,123,19,13,5,713.17,AOM Infusion,"Founded in 2013, Revelstoke Capital Partners is a private equity firm based in Denver, Colorado. The firm seeks to invest in companies operating in the healthcare and related business services. This firm is a Registered Investment Adviser (RIA)."
Ridgemont Equity Partners,Ridgemont Equity Partners,PE/Buyout,United States,"Charlotte, NC",8252,5. 5B-10B AUM,477,29,173,10,1236.86,Unosquare,"Founded in 1993, Ridgemont Equity Partners is a private equity firm based in Charlotte, North Carolina. The firm prefers to invest in business and tech-enabled services, healthcare, tech and telecom, industrial growth, environmental, power, and infrastructure sectors. This firm is a Registered Investment Adviser (RIA)."
Roark Capital Group,Roark Capital Group,PE/Buyout,United States,"Atlanta, GA",40000,3. 25B-50B AUM,161,25,44,4,4867.12,Dave's Hot Chicken,"Founded in 2001, Roark Capital Group is a private equity firm based in Atlanta, Georgia. The firm prefers to invest in consumer and business service companies in the restaurant, specialty retail, consumer and business services, and health, wellness, and beauty sectors. This firm is a Registered Investment Adviser (RIA)."
